"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","female_logFC","female_t","male_logFC","male_t","common_logFC","common_t","common_p_value","common_adj_p_value","interaction_logFC","interaction_t","sex_linked_flag","female_direction","male_direction","common_direction","age_only_direction","sex_direction_concordant","age_only_common_concordant","interaction_ratio","interaction_penalty","reliability_pass","module","weight","rank_score","training_mean","training_sd"
"factorial_stability_selected",1,"Plcb1",-8.82020002680207,-7.11937216759547,1.60303430501077e-07,0.000687113937604448,-8.06548740744979,-3.18124804375995,-9.15463797027736,-6.46575603826638,-8.61006268886358,-5.93003633472457,5.16095589097965e-06,0.00893767506276973,-1.08915056282757,-0.375067095615169,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.0632486974216574,0.940513731570955,TRUE,"young_high",48.0207356124971,48.0207356124971,1.49167512824088,1.80120312236594
"factorial_stability_selected",2,"Dgkb",-8.1569038906852,-5.47175888680637,1.02248368960229e-05,0.0105784138838537,-8.85126565338484,-3.2701806752923,-8.04394415154126,-4.63984480823995,-8.44760490246305,-5.25629433472304,2.61733167744134e-05,0.025889436954014,0.807321501843584,0.251167016298505,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.0477840443167596,0.954395140319283,TRUE,"young_high",42.3781007466568,42.3781007466568,0.717594513415339,1.25367525339528
"factorial_stability_selected",3,"Gm16515",-8.4306172432411,-5.00034219879304,3.49722850716475e-05,0.0179883445494526,-11.5166440501551,-4.5727304885038,-6.79467798753999,-3.2036346634019,-9.15566101884756,-5.56130320739649,1.24857576338068e-05,0.0178393730459025,4.72196606261514,1.43410098709314,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.257871375699869,0.794993843820962,TRUE,"young_high",40.4790251003382,40.4790251003382,1.21383234131561,1.5513624593217
"factorial_stability_selected",4,"Olfr267",-7.40799619164652,-4.68327079711459,8.02820514266438e-05,0.0250996630076344,-11.5966919221357,-5.41647800313155,-5.24214595865951,-3.04506518569955,-8.41941894039759,-6.12928404487451,3.22072647127278e-06,0.00690255361568278,6.35454596347617,2.31303475109631,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.377374355112072,0.72601903490401,TRUE,"young_high",37.4662196860012,37.4662196860012,0.580520190714533,1.09997635713477
"factorial_stability_selected",5,"Fam132b",-8.82844464885764,-4.37801757956568,0.000178619469852351,0.0326853506637559,-8.1177583136974,-2.21496646965785,-10.2073688655398,-5.1587969910484,-9.16256358961857,-4.39983097385826,0.000215470570255574,0.0659699062599149,-2.08961055184236,-0.501711837488038,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.114029791846692,0.897642062464355,TRUE,"young_high",36.1873007136757,36.1873007136757,1.56431413861725,2.65723731574504
"factorial_stability_selected",6,"Nek4",-8.04739177933481,-4.96440036059619,3.84235294162495e-05,0.0182995616579093,-6.15691009062605,-2.05130859539027,-9.29285284975722,-5.8302277290063,-7.72488147019164,-4.54615686740146,0.000150044183531119,0.0567475928243134,-3.13594275913117,-0.922764172189194,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.202976742637103,0.831271266149213,TRUE,"young_high",29.1930190342575,29.1930190342575,1.04641774611754,1.7850385997339
"factorial_stability_selected",7,"A630033H20Rik",-7.1736104469298,-4.40000802695752,0.000168632938166594,0.0323649395803617,-7.59649197459423,-2.70641474075611,-6.71150926238475,-3.32583163005002,-7.15400061848949,-4.138876462744,0.000410772927902635,0.0825332668734372,0.884982712209483,0.255999007606499,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.0618522905959749,0.941750570071041,TRUE,"young_high",27.8847868357505,27.8847868357505,1.048112129488,1.53653561174097
"factorial_stability_selected",8,"Osbpl10",-6.68001552896074,-4.25800215954374,0.000244421387979083,0.036546681721198,-9.79118727472838,-3.79853626772304,-5.19430154591429,-2.94998592227998,-7.49274441032133,-4.80054977536627,8.00599255027157e-05,0.0447604600886705,4.59688572881409,1.47259652434191,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.306755787353833,0.765253928605122,TRUE,"young_high",27.5256423915921,27.5256423915921,0.434647491132227,0.724458914119028
"factorial_stability_selected",9,"Chml",-6.56103823175966,-4.01896380717294,0.000455344292777328,0.0504764850071005,-8.71747714551462,-2.75996324097659,-6.28685345191345,-3.55607199105426,-7.50216529871404,-4.14522689875551,0.000404379673116809,0.0825332668734372,2.43062369360117,0.671505246438327,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.16199479982286,0.860589049238813,TRUE,"young_high",26.7627509175431,26.7627509175431,1.82638986351063,1.75580834446409
"factorial_stability_selected",10,"Mical3",-6.68114126066803,-4.46482104303355,0.000142317526495444,0.02965992254108,-6.75461971835643,-2.40521317889135,-6.64953058412993,-3.6551995146072,-6.70207515124318,-4.00594129706436,0.000570252852637042,0.0972831622366319,0.105089134226505,0.0314067578451883,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.00784004386812702,0.992220944270048,TRUE,"young_high",26.6392666055913,26.6392666055913,0.927326853604832,1.30253736403452
"factorial_stability_selected",11,"Brwd3",-7.62657437709915,-5.1375827386335,2.4423562487673e-05,0.0136548952186516,-5.78918897828378,-2.01448394894243,-8.2907893192824,-4.72765456895093,-7.03998914878309,-4.18225059356773,0.000369030357234465,0.0825332668734372,-2.50160034099862,-0.743063610603662,FALSE,-1,-1,-1,-1,TRUE,TRUE,0.177670740001091,0.849133774011464,TRUE,"young_high",25.0010446860395,25.0010446860395,0.986811693487687,1.3634976560538
